"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 08:34:53 WIB 2023","Fri Mar 31 08:34:53 WIB 2023","30","","Halaman Pendaftaran Retribusi Kendaraan: As a user, I can log into the secure area","","","","Then I should see a flash message saying You logged into a secure area!",""
"passed","Fri Mar 31 20:46:09 WIB 2023","Fri Mar 31 20:46:20 WIB 2023","10292","","form page: test chai form","","","","When I enter no_uji AJ011001123 and no_kendaraan S 8001 UW and no_mesin 14B1743536 and no_chasis BU4340006934 and jbb 7500",""
"broken","Fri Mar 31 19:22:55 WIB 2023","Fri Mar 31 19:22:55 WIB 2023","0","","form page: test chai form","","","","And I select jenis_kendaraan K. GANDENGAN",""
"passed","Wed Mar 29 15:50:52 WIB 2023","Wed Mar 29 15:50:52 WIB 2023","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Mon Apr 03 05:37:22 WIB 2023","Mon Apr 03 05:37:22 WIB 2023","1","","Test End to End User from resttest: Validate End to End Get Single User","","","","",""
"passed","Sun Apr 02 06:35:50 WIB 2023","Sun Apr 02 06:35:50 WIB 2023","28","","form page: test chai form","","","","And I select jenis_kendaraan 5",""
"passed","Fri Mar 31 20:30:12 WIB 2023","Fri Mar 31 20:30:12 WIB 2023","2","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"skipped","Wed Mar 29 17:28:50 WIB 2023","Wed Mar 29 17:28:50 WIB 2023","6","","login page: input username password","","","","When I login with admin and 67b70299781c57297aad37539c02d5c7!",""
"passed","Mon Apr 03 06:06:00 WIB 2023","Mon Apr 03 06:06:03 WIB 2023","3129","","form page: test chai form","","","","And I select search_category no_uji_kend and enter search no_uji AJ011001123 and press enter",""
"passed","Mon Apr 03 06:08:54 WIB 2023","Mon Apr 03 06:08:54 WIB 2023","1","","Test End to End User from resttest: Validate End to End Get Single User","","","","",""
"passed","Fri Mar 31 20:55:47 WIB 2023","Fri Mar 31 20:55:47 WIB 2023","1","","form page: test chai form","","","","",""
"passed","Sun Apr 02 06:04:31 WIB 2023","Sun Apr 02 06:04:31 WIB 2023","1","","form page: test chai form","","","","",""
"passed","Fri Mar 31 22:37:13 WIB 2023","Fri Mar 31 22:37:13 WIB 2023","7","","form page: test chai form","","","","Then I click submit button",""
"passed","Wed Mar 29 11:44:10 WIB 2023","Wed Mar 29 11:44:10 WIB 2023","299","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"passed","Mon Apr 03 07:56:45 WIB 2023","Mon Apr 03 07:56:45 WIB 2023","62","","Test End to End User from resttest: Validate End to End Get Single User","","","","Given I am on page  http://resttesttest.com/",""
"passed","Tue Apr 04 09:44:22 WIB 2023","Tue Apr 04 09:44:22 WIB 2023","71","","Test End to End User from resttest: Validate End to End Get Single User","","","","Then I validate the search result",""
"passed","Fri Mar 31 19:37:15 WIB 2023","Fri Mar 31 19:37:15 WIB 2023","0","","form page: test chai form","","","","",""
"passed","Wed Mar 29 15:58:19 WIB 2023","Wed Mar 29 15:58:19 WIB 2023","1","","Halaman Pendaftaran Retribusi Kendaraan: As a user, I can log into the secure area","","","","",""
"passed","Mon Apr 03 06:02:17 WIB 2023","Mon Apr 03 06:02:17 WIB 2023","182","","form page: test chai form","","","","When I enter no_uji AJ011001123 and no_kendaraan S 8001 UW and no_mesin 14B1743536 and no_chasis BU4340006934 and jbb 7500",""
"skipped","Mon Apr 03 06:12:51 WIB 2023","Mon Apr 03 06:12:51 WIB 2023","0","","Test End to End User from resttest: Validate End to End Get Single User","","","","Then I validate the search result",""
"passed","Sun Apr 02 17:16:37 WIB 2023","Sun Apr 02 17:16:37 WIB 2023","1","","form page: test chai form","","","","",""
"passed","Fri Mar 31 19:47:20 WIB 2023","Fri Mar 31 19:47:20 WIB 2023","1","","form page: test chai form","","","","",""
"passed","Sun Apr 02 17:38:34 WIB 2023","Sun Apr 02 17:38:34 WIB 2023","1","","Test End to End User from resttest: Validate End to End Get Single User","","","","",""
"passed","Sun Apr 02 08:26:57 WIB 2023","Sun Apr 02 08:27:00 WIB 2023","2767","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
